Date,AGG,XLB,XLF,XLI,XLK,XLP,XLU,XLV
2015-02-18,81.97774505615234,20.693408966064453,16.11370277404785,47.21051025390625,18.73854637145996,37.13398742675781,16.192115783691406,59.5296745300293
2015-02-19,81.91099548339844,20.7495174407959,16.047555923461914,47.29250717163086,18.804357528686523,36.89527893066406,16.009868621826172,59.62985610961914
2015-02-20,81.92584991455078,20.809621810913086,16.16661834716797,47.694332122802734,18.900876998901367,36.99972152709961,16.01337242126465,60.25592803955078
2015-02-23,82.07401275634766,20.785573959350586,16.126928329467773,47.489322662353516,18.914033889770508,37.10416030883789,16.12201690673828,60.53144073486328
2015-02-24,82.43718719482422,20.87373924255371,16.206302642822266,47.67794418334961,18.9710750579834,37.23096466064453,16.241180419921875,60.45627212524414
2015-02-25,82.49647521972656,20.813629150390625,16.206302642822266,47.57953643798828,18.85262107849121,37.10416030883789,15.974820137023926,60.4312629699707
2015-02-26,82.20003509521484,20.681392669677734,16.16661834716797,47.3663215637207,18.9710750579834,37.15637969970703,15.869671821594238,60.59821701049805
2015-02-27,82.40753936767578,20.633304595947266,16.107078552246094,47.1448974609375,18.9052677154541,37.30556106567383,15.852149963378906,60.3060302734375
2015-03-02,81.98888397216797,20.76955223083496,16.226152420043945,47.57953643798828,19.054433822631836,37.372703552246094,15.547231674194336,60.848663330078125
2015-03-03,81.8849868774414,20.6573429107666,16.179847717285156,47.276126861572266,18.927204132080078,37.23096466064453,15.641862869262695,60.29768753051758
2015-03-04,81.92948913574219,20.585222244262695,16.080629348754883,46.9070930480957,18.85262107849121,36.96988296508789,15.55424690246582,60.58988952636719
2015-03-05,81.96662139892578,20.49706268310547,16.146778106689453,46.93988800048828,18.83068084716797,37.096702575683594,15.676913261413574,60.806907653808594
2015-03-06,81.43213653564453,20.220552444458008,16.027708053588867,46.300254821777344,18.598142623901367,36.37310791015625,15.20727252960205,59.613136291503906
2015-03-09,81.64002990722656,20.248607635498047,16.100467681884766,46.73487854003906,18.685895919799805,36.574520111083984,15.235307693481445,59.98044967651367
2015-03-10,81.8330078125,19.94005012512207,15.756495475769043,45.87383270263672,18.304195404052734,36.05233383178711,15.20727252960205,59.3126335144043
2015-03-11,81.99634552001953,19.916004180908203,15.85572338104248,45.824615478515625,18.185733795166016,35.77634048461914,15.109131813049316,59.27924346923828
2015-03-12,82.0631103515625,20.164457321166992,16.199691772460938,46.41505813598633,18.304195404052734,36.298519134521484,15.396533012390137,60.06393814086914
2015-03-13,81.90727233886719,19.972108840942383,16.087236404418945,45.9886360168457,18.203283309936523,36.015052795410156,15.238812446594238,59.94706726074219
2015-03-16,82.08538055419922,19.94005012512207,16.285682678222656,46.75127029418945,18.41827392578125,36.455177307128906,15.501667976379395,61.2744140625
2015-03-17,82.07054901123047,19.719650268554688,16.24599838256836,46.56267547607422,18.422658920288086,36.1940803527832,15.477136611938477,61.099082946777344
2015-03-18,82.67182159423828,20.020200729370117,16.338600158691406,47.112098693847656,18.6727352142334,36.440250396728516,15.894206047058105,61.89215850830078
2015-03-19,82.3823013305664,19.675575256347656,16.186466217041016,46.79227066040039,18.620086669921875,36.27614974975586,15.747008323669434,62.251136779785156
2015-03-20,82.63468933105469,19.802282333374023,16.406232833862305,47.056724548339844,18.7403564453125,36.73095703125,15.888653755187988,62.701515197753906
2015-03-23,82.64957427978516,19.802282333374023,16.313274383544922,46.66128921508789,18.7403564453125,36.7910041809082,15.899249076843262,62.525726318359375
2015-03-24,82.87226104736328,19.737916946411133,16.180498123168945,46.50476837158203,18.678682327270508,36.58085632324219,15.72262954711914,61.98158645629883
2015-03-25,82.71630859375,19.516687393188477,15.92154598236084,45.71389389038086,18.198497772216797,36.490787506103516,15.538946151733398,60.85142517089844
2015-03-26,82.41939544677734,19.56093406677246,15.908266067504883,45.59033203125,18.211713790893555,36.333187103271484,15.408251762390137,60.7091178894043
2015-03-27,82.53817749023438,19.552886962890625,15.888351440429688,45.763328552246094,18.22492790222168,36.55833435058594,15.500092506408691,61.14443588256836
2015-03-30,82.57530975341797,19.8183650970459,16.120731353759766,46.40590286254883,18.445194244384766,36.92610549926758,15.690841674804688,61.76390075683594
2015-03-31,82.71630859375,19.621265411376953,16.007858276367188,45.94456481933594,18.255765914916992,36.58085632324219,15.694371223449707,60.692378997802734
2015-04-01,82.98486328125,19.677581787109375,15.99457836151123,45.63975143432617,18.229331970214844,36.62588119506836,15.708502769470215,60.08126449584961
2015-04-02,82.87326049804688,19.697696685791016,16.07425308227539,45.664466857910156,18.22492790222168,36.873558044433594,15.736763000488281,60.26543426513672
2015-04-06,82.92534637451172,19.85457420349121,16.100811004638672,46.01047897338867,18.401142120361328,37.16627502441406,15.955774307250977,60.357513427734375
2015-04-07,82.94019317626953,19.8223934173584,16.014495849609375,45.90338134765625,18.361494064331055,36.993648529052734,15.772082328796387,60.49982833862305
2015-04-08,82.9476318359375,19.878704071044922,16.07425308227539,46.059906005859375,18.418766021728516,37.053688049316406,15.726166725158691,61.01048278808594
2015-04-09,82.7394027709961,19.935016632080078,16.100811004638672,46.28232192993164,18.46721839904785,37.15874481201172,15.659050941467285,61.47090148925781
2015-04-10,82.7394027709961,19.991329193115234,16.09417152404785,46.93315505981445,18.537700653076172,37.22631072998047,15.775611877441406,61.99832534790039
2015-04-13,82.82867431640625,19.91088104248047,16.153928756713867,46.48830032348633,18.484840393066406,37.053688049316406,15.620196342468262,61.663448333740234
